name,id,price
Product Prototypes,a0730ff8-92ef-46dc-aa8a-f7a6abbbcb12,536449.0
Market Analysis Reports,ec2fba32-295f-417f-a1c8-18b9db4680ce,592406.01
User Testing Tools,b900b076-98f5-4cb9-ad34-fce8bb9baa34,418983.59
Wireframes,e4e50828-698a-4595-ad3e-66ae0d989f37,500689.32
Google Ads,c87067b8-ca50-4774-ac14-701768e83911,114883.92
Brand Guidelines,0106bf63-4f03-4b5d-96ae-9354b262704e,238209.4
Brand Guidelines,e40aea96-5f3e-44dd-bb8f-5d750fe3dd75,458900.84
Google Ads,7afad208-8927-4c30-8c06-9f6c99978fd4,116011.32
Product Prototypes,02a23303-a760-412e-b289-a49a18280c58,544430.2
Product Prototypes,84457937-33f1-42b5-9079-7108da96ff01,166697.43
Wireframes,a181cbd0-d3df-4a8c-b023-56adc9149c71,415886.28
User Testing Tools,4793065e-1657-4f44-b1c0-7fce104c7267,530127.91
Market Analysis Reports,c09ae65f-1497-41be-a5ce-28b7b72e755d,488344.21
Product Prototypes,b3aa440d-3965-4227-a0d9-bcccde305d40,82935.75
CRM Software,f8d8d611-fa55-4e1c-ac26-8f056c00835b,646072.79
Google Ads,013c4fb3-a1d9-4a75-8b2c-de2a57459859,277644.78
Product Prototypes,7e0302d4-0833-4408-980d-0c52d8d64c91,381171.43
Product Prototypes,7c10f25c-c152-4dcd-97ef-7135e368c07e,580692.93
Facebook Ads,20278519-4b39-48da-9920-270dbd0d43b8,53026.51
Logo Design,54231339-2ac2-4a20-8e99-47e53b13c35a,520016.17
Brand Guidelines,9e88e815-cff7-406b-bf15-2a5e041a7c29,595915.61
Product Prototypes,155b8cee-80a2-4de8-8484-48ce1d0b2797,251841.55
Google Ads,b3dde425-cee3-4821-9a50-dacb8c137f8f,493320.56
User Testing Tools,c9ec5866-3e35-43b9-b3d7-3d34999e3ba6,206421.23
Market Analysis Reports,ff81f88d-7121-4c6d-af8b-f9b1aff73e31,168240.08
Brand Guidelines,f2ec86b5-1a81-4043-a028-0058ab25a1cd,490184.69
Facebook Ads,d8d0db3e-9810-48c5-adf5-74d2c327a98c,681002.22
CRM Software,5c1b9779-719c-41e9-8077-d6dd5d1fa71e,273108.3
